id,imdb_id,poster_path,title,movie_title,tag
314404 ,tt3596952,/uiUUxKfAbSueaMYbah7uSTsd8QY.jpg,wondrou boccaccio,Wondrous Boccaccio,"wondrou boccaccio, comedi histori drama,it' 1348. the plagu ha brutal hit florence. a group of then young people, seven women and three men, rebel against the feel of death that is about to swallow them. they flee the citi and find refug in an abandon villa in the tuscan hills. here, between moral doubt and the task need to survive, they kill time by tell each other stori until they will decid to return. the stori are vari - tragic, bizarre, funni or erot - but common and central to all of them is the femal presence., none, "
364690 ,tt3667792,/ahs3hszqDpK3JORJMl7r4xH8fC5.jpg,natur select,Natural Selection,"natur select, drama,tyler is a young man who is desper seek direct from a world that seem to have abandon him. search for answer he look to hi new friend indrid who appear to have it all figur out., at our darkest time, a moment will come that will defin who we are., manipul highschool violenc"
375573 ,tt5722234,/3o7rbhxdGGq8o6r6ZpFt8K2Xn0c.jpg,chase great,Chasing Great,"chase great, documentari,chase great is an insight portray that weav richi mccaw' life stori into hi final season as an all black, reveal the determin and mental tough of an intern sport legend who still see himself as an 'ordinari guy' from small town new zealand., in the mind of a champion, biographi sport rugbi greatest"
336212 ,tt4636046,/3C2QY5r98yC2MowWChjCEIgcaDb.jpg,nahid,Nahid,"nahid, drama,a woman tri to mend the broken piec of her last life, as she is now involv with a new sexual relationship with a man., none, womandirector"
381691 ,tt4851630,/hmK9QUWpOaSs1H7tarzlMNqT60H.jpg,maheshint prathikaaram,Maheshinte Prathikaaram,"maheshint prathikaaram, comedi drama,mahesh, a studio photograph and owner of the studio. as the stori move on, mahesh encount an anonym fight end up with take reveng that lead to certain realiz in hi life., none, kungfu photograph magazin villag photographi reveng romanc malayalam vow sandel"
410965 ,tt5571712,/resbtICTW6SAQ9N16gn8k8jeajU.jpg,jeff foxworthi & larri the cabl guy: we'v been think,Jeff Foxworthy & Larry the Cable Guy: We've Been Thinking,"jeff foxworthi & larri the cabl guy: we'v been think, comedi,comedian jeff foxworthi and larri the cabl guy bring their distinct brand of humor to a pack crowd in minneapolis., none, "
356191 ,tt4935158,/mAIRNNPzBBONMntjzTE9TsvOAGu.jpg,demon,Demon,"demon, drama horror thriller,a bridegroom is possess by an unquiet spirit in the midst of hi own wed celebration, in thi clever take on the jewish legend of the dybbuk., none, possess weddingparti"
399814 ,tt4986786,/A6pG0nxkIACeBV27Getb5AXdLOQ.jpg,maz jobrani: i'm not a terrorist but i'v play one on tv,Maz Jobrani: I'm Not a Terrorist But I've Played One on TV,"maz jobrani: i'm not a terrorist but i'v play one on tv, comedi,comedian maz jobrani follow up hi bestsel book with a hilari comedi special of the same title, where he take on polit issues, social issu and hi kid through the len of hi iranian-american background to show that we have a lot more in common than we think., none, stand-upcomedi"
351037 ,tt2586118,/cpQ1Z0MasfrSfFrNE5oJLGdTobz.jpg,the ardenn,The Ardennes,"the ardenn, crime drama,a brutal home-jack goe hopelessli wrong. dave, one of the two robbers, manag to run off, leav hi brother kenneth behind. four year later, kenneth is releas from prison and much ha changed. dave ha hi life back on track and is tri to help kenneth howev possible, but is wit how the highli strung kenneth tri to win back hi ex-girlfriend sylvie., none, lovetriangl fire antwerp belgium nightclub releasefromprison polic murder snow brotheragainstbroth pregnanc violenc ostrich convict carwash housetrail ardenn technomus cellmat"
411802 ,tt5896146,/bppmdOACqo9svFfZnITZAk3nAT3.jpg,batman unlimited: mech vs. mutant,Batman Unlimited: Mechs vs. Mutants,"batman unlimited: mech vs. mutant, anim,mr. freez turn killer croc and bane into super-s monsters, and they bash their way through downtown gotham until the cape crusad and hi team of hero join the fight in their giant robot mechs., none, "
411822 ,tt5578722,/54ht7cX4OAVWcJg7UUzIQyPX34v.jpg,onc again,Once Again,"onc again, crime drama,after year spent live off the modest wealth of hi in-laws, a man hatch a desper plan that draw hi respect middle-class famili into a vortex of crime, in thi first featur in eight year from south indian master adoor gopalakrishnan., none, teacher famili jobless malayalam"
365339 ,tt3829874,/iIwfkfQhRUiulPQVokNNQfgoEVo.jpg,black road,Black Road,"black road, sciencefict thriller,in 2029, a cyborg drifter risk hi life to protect a woman from her dement ex. set in a lawless coastal town after oregon seced from the union., don't ride into dark alon, "
352582 ,tt3505754,/px4AXvKFlEwy9978SAm4dUeGUmb.jpg,bachelor,Bachelors,"bachelor, comedi,woman advertis execut aaron tri to stop best friend sean from fall into the ""etern damnation"" of marriag by throw a wild bachelor parti to remind sean of the joy of bachelorhood., while host hi best friend' bachelor party, a man is forc to face hi own fear of commit, "
390497 ,tt5910280,/78dBCCG6YX4BPLBKn6mOlNjK9vX.jpg,tunnel,Tunnel,"tunnel, drama thriller,a man is on hi way home when the poorli construct tunnel he is drive through collapses, leav him trapped., when all collapsed, onli hope remained., disast koreanmovi trappedunderground"
381069 ,tt5434870,/aRjYNKsUG10HeLEiSU4TO3tI6hU.jpg,littl sister,Little Sister,"littl sister, comedi,october, 2008. young nun colleen is avoid all contact from her family, until an email from her mother announces, “your brother is home.” on return to her childhood home in asheville, nc, she find her old room exactli how she left it: paint black and cover in goth/met posters. her parent are happi enough to see her, but uneas and awkward abounds. her brother is live as a reclus in the guesthous sinc return home from the iraq war. dure colleen’ visit, tension rise and fall with a littl help from halloween, pot cupcakes, and gwar. littl sister is a sad comedi about famili – a schmaltz-free, pathos-drenched, feel good movi for the littl goth girl insid us all., none, "
340487 ,tt4468634,/mjtDQ9yx0Atb8QxBGcfXNBu0EmX.jpg,certain women,Certain Women,"certain women, drama,the live of three women intersect in small-town america, where each is imperfectli blaze a trail., none, loneli ruralset lesbianinterest flirt womanlawy womandirector dysfunctionalrelationship affair"
392807 ,tt4771932,/bhOwc4F6pQrta2rhaXGGjGwgLN2.jpg,the happiest day in the life of olli mäki,The Happiest Day in the Life of Olli Mäki,"the happiest day in the life of olli mäki, drama,summer 1962 and olli mäki ha a shot at the world championship titl in featherweight boxing. from the finnish countrysid to the bright light of helsinki, everyth ha been prepar for hi fame and fortune. all olli ha to do is lose weight and concentrate. but there is a problem – he ha fallen in love with raija., none, love finland box"
377273 ,tt5221584,/gxuT8EbgXsHq02LLDYuXdTD963V.jpg,aquariu,Aquarius,"aquariu, drama,clara, a 65-year-old widow and retir music critic, wa born into a wealthi and tradit famili in recife, brazil. she is the last resid of the aquarius, an origin two-stori building, built in the 1940s, in the upper-class, seasid boa viagem avenue. all the neighbor apart have alreadi been acquir by a compani which ha other plan for that plot., none, brazilian"
